sleep__logId,sleep__dateOfSleep,sleep__minutesToFallAsleep,sleep__awakeningsCount,sleep__minutesAwake,sleep__timeInBed,sleep__minutesAsleep,sleep__awakeDuration,sleep__efficiency,sleep__isMainSleep,sleep__startTime,sleep__restlessCount,sleep__duration,sleep__restlessDuration,value,time,sleep__awakeCount,sleep__minutesAfterWakeup,summary__totalTimeInBed,summary__totalMinutesAsleep,summary__totalSleepRecords
11485935698,2016-04-26,0,18,38,413,375,2,91,TRUE,2016-04-26T01:12:00.000,17,24780000,36,1,01:12:00,1,0,413,375,1
,,,,,,,,,,,,,,1,01:13:00,,,,,
,,,,,,,,,,,,,,2,01:14:00,,,,,
,,,,,,,,,,,,,,2,01:15:00,,,,,
,,,,,,,,,,,,,,1,01:16:00,,,,,
,,,,,,,,,,,,,,1,01:17:00,,,,,
,,,,,,,,,,,,,,1,01:18:00,,,,,
,,,,,,,,,,,,,,1,01:19:00,,,,,
,,,,,,,,,,,,,,1,01:20:00,,,,,
,,,,,,,,,,,,,,1,01:21:00,,,,,
,,,,,,,,,,,,,,1,01:22:00,,,,,
,,,,,,,,,,,,,,1,01:23:00,,,,,
,,,,,,,,,,,,,,1,01:24:00,,,,,
,,,,,,,,,,,,,,1,01:25:00,,,,,
,,,,,,,,,,,,,,1,01:26:00,,,,,
,,,,,,,,,,,,,,1,01:27:00,,,,,
,,,,,,,,,,,,,,1,01:28:00,,,,,
,,,,,,,,,,,,,,1,01:29:00,,,,,
,,,,,,,,,,,,,,1,01:30:00,,,,,
,,,,,,,,,,,,,,1,01:31:00,,,,,
,,,,,,,,,,,,,,1,01:32:00,,,,,
,,,,,,,,,,,,,,1,01:33:00,,,,,
,,,,,,,,,,,,,,1,01:34:00,,,,,
,,,,,,,,,,,,,,1,01:35:00,,,,,
,,,,,,,,,,,,,,1,01:36:00,,,,,
,,,,,,,,,,,,,,1,01:37:00,,,,,
,,,,,,,,,,,,,,1,01:38:00,,,,,
,,,,,,,,,,,,,,1,01:39:00,,,,,
,,,,,,,,,,,,,,1,01:40:00,,,,,
,,,,,,,,,,,,,,1,01:41:00,,,,,
,,,,,,,,,,,,,,1,01:42:00,,,,,
,,,,,,,,,,,,,,1,01:43:00,,,,,
,,,,,,,,,,,,,,1,01:44:00,,,,,
,,,,,,,,,,,,,,1,01:45:00,,,,,
,,,,,,,,,,,,,,1,01:46:00,,,,,
,,,,,,,,,,,,,,1,01:47:00,,,,,
,,,,,,,,,,,,,,1,01:48:00,,,,,
,,,,,,,,,,,,,,1,01:49:00,,,,,
,,,,,,,,,,,,,,1,01:50:00,,,,,
,,,,,,,,,,,,,,2,01:51:00,,,,,
,,,,,,,,,,,,,,2,01:52:00,,,,,
,,,,,,,,,,,,,,1,01:53:00,,,,,
,,,,,,,,,,,,,,1,01:54:00,,,,,
,,,,,,,,,,,,,,1,01:55:00,,,,,
,,,,,,,,,,,,,,1,01:56:00,,,,,
,,,,,,,,,,,,,,1,01:57:00,,,,,
,,,,,,,,,,,,,,1,01:58:00,,,,,
,,,,,,,,,,,,,,1,01:59:00,,,,,
,,,,,,,,,,,,,,1,02:00:00,,,,,
,,,,,,,,,,,,,,1,02:01:00,,,,,
,,,,,,,,,,,,,,1,02:02:00,,,,,
,,,,,,,,,,,,,,1,02:03:00,,,,,
,,,,,,,,,,,,,,1,02:04:00,,,,,
,,,,,,,,,,,,,,1,02:05:00,,,,,
,,,,,,,,,,,,,,1,02:06:00,,,,,
,,,,,,,,,,,,,,1,02:07:00,,,,,
,,,,,,,,,,,,,,1,02:08:00,,,,,
,,,,,,,,,,,,,,1,02:09:00,,,,,
,,,,,,,,,,,,,,1,02:10:00,,,,,
,,,,,,,,,,,,,,1,02:11:00,,,,,
,,,,,,,,,,,,,,2,02:12:00,,,,,
,,,,,,,,,,,,,,1,02:13:00,,,,,
,,,,,,,,,,,,,,1,02:14:00,,,,,
,,,,,,,,,,,,,,1,02:15:00,,,,,
,,,,,,,,,,,,,,1,02:16:00,,,,,
,,,,,,,,,,,,,,1,02:17:00,,,,,
,,,,,,,,,,,,,,1,02:18:00,,,,,
,,,,,,,,,,,,,,1,02:19:00,,,,,
,,,,,,,,,,,,,,1,02:20:00,,,,,
,,,,,,,,,,,,,,1,02:21:00,,,,,
,,,,,,,,,,,,,,1,02:22:00,,,,,
,,,,,,,,,,,,,,1,02:23:00,,,,,
,,,,,,,,,,,,,,1,02:24:00,,,,,
,,,,,,,,,,,,,,1,02:25:00,,,,,
,,,,,,,,,,,,,,1,02:26:00,,,,,
,,,,,,,,,,,,,,1,02:27:00,,,,,
,,,,,,,,,,,,,,1,02:28:00,,,,,
,,,,,,,,,,,,,,1,02:29:00,,,,,
,,,,,,,,,,,,,,1,02:30:00,,,,,
,,,,,,,,,,,,,,1,02:31:00,,,,,
,,,,,,,,,,,,,,1,02:32:00,,,,,
,,,,,,,,,,,,,,1,02:33:00,,,,,
,,,,,,,,,,,,,,1,02:34:00,,,,,
,,,,,,,,,,,,,,1,02:35:00,,,,,
,,,,,,,,,,,,,,1,02:36:00,,,,,
,,,,,,,,,,,,,,1,02:37:00,,,,,
,,,,,,,,,,,,,,1,02:38:00,,,,,
,,,,,,,,,,,,,,2,02:39:00,,,,,
,,,,,,,,,,,,,,2,02:40:00,,,,,
,,,,,,,,,,,,,,1,02:41:00,,,,,
,,,,,,,,,,,,,,1,02:42:00,,,,,
,,,,,,,,,,,,,,1,02:43:00,,,,,
,,,,,,,,,,,,,,1,02:44:00,,,,,
,,,,,,,,,,,,,,1,02:45:00,,,,,
,,,,,,,,,,,,,,2,02:46:00,,,,,
,,,,,,,,,,,,,,2,02:47:00,,,,,
,,,,,,,,,,,,,,2,02:48:00,,,,,
,,,,,,,,,,,,,,1,02:49:00,,,,,
,,,,,,,,,,,,,,2,02:50:00,,,,,
,,,,,,,,,,,,,,1,02:51:00,,,,,
,,,,,,,,,,,,,,1,02:52:00,,,,,
,,,,,,,,,,,,,,1,02:53:00,,,,,
,,,,,,,,,,,,,,1,02:54:00,,,,,
,,,,,,,,,,,,,,1,02:55:00,,,,,
,,,,,,,,,,,,,,1,02:56:00,,,,,
,,,,,,,,,,,,,,1,02:57:00,,,,,
,,,,,,,,,,,,,,1,02:58:00,,,,,
,,,,,,,,,,,,,,1,02:59:00,,,,,
,,,,,,,,,,,,,,1,03:00:00,,,,,
,,,,,,,,,,,,,,1,03:01:00,,,,,
,,,,,,,,,,,,,,1,03:02:00,,,,,
,,,,,,,,,,,,,,1,03:03:00,,,,,
,,,,,,,,,,,,,,1,03:04:00,,,,,
,,,,,,,,,,,,,,1,03:05:00,,,,,
,,,,,,,,,,,,,,1,03:06:00,,,,,
,,,,,,,,,,,,,,1,03:07:00,,,,,
,,,,,,,,,,,,,,1,03:08:00,,,,,
,,,,,,,,,,,,,,1,03:09:00,,,,,
,,,,,,,,,,,,,,2,03:10:00,,,,,
,,,,,,,,,,,,,,2,03:11:00,,,,,
,,,,,,,,,,,,,,1,03:12:00,,,,,
,,,,,,,,,,,,,,1,03:13:00,,,,,
,,,,,,,,,,,,,,1,03:14:00,,,,,
,,,,,,,,,,,,,,1,03:15:00,,,,,
,,,,,,,,,,,,,,1,03:16:00,,,,,
,,,,,,,,,,,,,,1,03:17:00,,,,,
,,,,,,,,,,,,,,1,03:18:00,,,,,
,,,,,,,,,,,,,,1,03:19:00,,,,,
,,,,,,,,,,,,,,1,03:20:00,,,,,
,,,,,,,,,,,,,,1,03:21:00,,,,,
,,,,,,,,,,,,,,1,03:22:00,,,,,
,,,,,,,,,,,,,,1,03:23:00,,,,,
,,,,,,,,,,,,,,1,03:24:00,,,,,
,,,,,,,,,,,,,,1,03:25:00,,,,,
,,,,,,,,,,,,,,1,03:26:00,,,,,
,,,,,,,,,,,,,,1,03:27:00,,,,,
,,,,,,,,,,,,,,1,03:28:00,,,,,
,,,,,,,,,,,,,,1,03:29:00,,,,,
,,,,,,,,,,,,,,1,03:30:00,,,,,
,,,,,,,,,,,,,,1,03:31:00,,,,,
,,,,,,,,,,,,,,1,03:32:00,,,,,
,,,,,,,,,,,,,,1,03:33:00,,,,,
,,,,,,,,,,,,,,2,03:34:00,,,,,
,,,,,,,,,,,,,,1,03:35:00,,,,,
,,,,,,,,,,,,,,1,03:36:00,,,,,
,,,,,,,,,,,,,,1,03:37:00,,,,,
,,,,,,,,,,,,,,1,03:38:00,,,,,
,,,,,,,,,,,,,,1,03:39:00,,,,,
,,,,,,,,,,,,,,1,03:40:00,,,,,
,,,,,,,,,,,,,,1,03:41:00,,,,,
,,,,,,,,,,,,,,1,03:42:00,,,,,
,,,,,,,,,,,,,,1,03:43:00,,,,,
,,,,,,,,,,,,,,1,03:44:00,,,,,
,,,,,,,,,,,,,,1,03:45:00,,,,,
,,,,,,,,,,,,,,1,03:46:00,,,,,
,,,,,,,,,,,,,,1,03:47:00,,,,,
,,,,,,,,,,,,,,1,03:48:00,,,,,
,,,,,,,,,,,,,,1,03:49:00,,,,,
,,,,,,,,,,,,,,1,03:50:00,,,,,
,,,,,,,,,,,,,,1,03:51:00,,,,,
,,,,,,,,,,,,,,1,03:52:00,,,,,
,,,,,,,,,,,,,,1,03:53:00,,,,,
,,,,,,,,,,,,,,1,03:54:00,,,,,
,,,,,,,,,,,,,,1,03:55:00,,,,,
,,,,,,,,,,,,,,1,03:56:00,,,,,
,,,,,,,,,,,,,,1,03:57:00,,,,,
,,,,,,,,,,,,,,1,03:58:00,,,,,
,,,,,,,,,,,,,,1,03:59:00,,,,,
,,,,,,,,,,,,,,1,04:00:00,,,,,
,,,,,,,,,,,,,,1,04:01:00,,,,,
,,,,,,,,,,,,,,1,04:02:00,,,,,
,,,,,,,,,,,,,,1,04:03:00,,,,,
,,,,,,,,,,,,,,1,04:04:00,,,,,
,,,,,,,,,,,,,,1,04:05:00,,,,,
,,,,,,,,,,,,,,1,04:06:00,,,,,
,,,,,,,,,,,,,,1,04:07:00,,,,,
,,,,,,,,,,,,,,1,04:08:00,,,,,
,,,,,,,,,,,,,,1,04:09:00,,,,,
,,,,,,,,,,,,,,1,04:10:00,,,,,
,,,,,,,,,,,,,,1,04:11:00,,,,,
,,,,,,,,,,,,,,1,04:12:00,,,,,
,,,,,,,,,,,,,,1,04:13:00,,,,,
,,,,,,,,,,,,,,1,04:14:00,,,,,
,,,,,,,,,,,,,,1,04:15:00,,,,,
,,,,,,,,,,,,,,1,04:16:00,,,,,
,,,,,,,,,,,,,,1,04:17:00,,,,,
,,,,,,,,,,,,,,1,04:18:00,,,,,
,,,,,,,,,,,,,,1,04:19:00,,,,,
,,,,,,,,,,,,,,1,04:20:00,,,,,
,,,,,,,,,,,,,,1,04:21:00,,,,,
,,,,,,,,,,,,,,1,04:22:00,,,,,
,,,,,,,,,,,,,,1,04:23:00,,,,,
,,,,,,,,,,,,,,1,04:24:00,,,,,
,,,,,,,,,,,,,,1,04:25:00,,,,,
,,,,,,,,,,,,,,1,04:26:00,,,,,
,,,,,,,,,,,,,,1,04:27:00,,,,,
,,,,,,,,,,,,,,1,04:28:00,,,,,
,,,,,,,,,,,,,,1,04:29:00,,,,,
,,,,,,,,,,,,,,1,04:30:00,,,,,
,,,,,,,,,,,,,,1,04:31:00,,,,,
,,,,,,,,,,,,,,1,04:32:00,,,,,
,,,,,,,,,,,,,,1,04:33:00,,,,,
,,,,,,,,,,,,,,1,04:34:00,,,,,
,,,,,,,,,,,,,,2,04:35:00,,,,,
,,,,,,,,,,,,,,2,04:36:00,,,,,
,,,,,,,,,,,,,,1,04:37:00,,,,,
,,,,,,,,,,,,,,1,04:38:00,,,,,
,,,,,,,,,,,,,,1,04:39:00,,,,,
,,,,,,,,,,,,,,1,04:40:00,,,,,
,,,,,,,,,,,,,,1,04:41:00,,,,,
,,,,,,,,,,,,,,1,04:42:00,,,,,
,,,,,,,,,,,,,,1,04:43:00,,,,,
,,,,,,,,,,,,,,1,04:44:00,,,,,
,,,,,,,,,,,,,,1,04:45:00,,,,,
,,,,,,,,,,,,,,1,04:46:00,,,,,
,,,,,,,,,,,,,,1,04:47:00,,,,,
,,,,,,,,,,,,,,1,04:48:00,,,,,
,,,,,,,,,,,,,,1,04:49:00,,,,,
,,,,,,,,,,,,,,1,04:50:00,,,,,
,,,,,,,,,,,,,,1,04:51:00,,,,,
,,,,,,,,,,,,,,1,04:52:00,,,,,
,,,,,,,,,,,,,,1,04:53:00,,,,,
,,,,,,,,,,,,,,1,04:54:00,,,,,
,,,,,,,,,,,,,,1,04:55:00,,,,,
,,,,,,,,,,,,,,1,04:56:00,,,,,
,,,,,,,,,,,,,,1,04:57:00,,,,,
,,,,,,,,,,,,,,1,04:58:00,,,,,
,,,,,,,,,,,,,,1,04:59:00,,,,,
,,,,,,,,,,,,,,1,05:00:00,,,,,
,,,,,,,,,,,,,,1,05:01:00,,,,,
,,,,,,,,,,,,,,1,05:02:00,,,,,
,,,,,,,,,,,,,,1,05:03:00,,,,,
,,,,,,,,,,,,,,1,05:04:00,,,,,
,,,,,,,,,,,,,,1,05:05:00,,,,,
,,,,,,,,,,,,,,1,05:06:00,,,,,
,,,,,,,,,,,,,,1,05:07:00,,,,,
,,,,,,,,,,,,,,1,05:08:00,,,,,
,,,,,,,,,,,,,,1,05:09:00,,,,,
,,,,,,,,,,,,,,1,05:10:00,,,,,
,,,,,,,,,,,,,,1,05:11:00,,,,,
,,,,,,,,,,,,,,1,05:12:00,,,,,
,,,,,,,,,,,,,,1,05:13:00,,,,,
,,,,,,,,,,,,,,1,05:14:00,,,,,
,,,,,,,,,,,,,,1,05:15:00,,,,,
,,,,,,,,,,,,,,1,05:16:00,,,,,
,,,,,,,,,,,,,,1,05:17:00,,,,,
,,,,,,,,,,,,,,1,05:18:00,,,,,
,,,,,,,,,,,,,,1,05:19:00,,,,,
,,,,,,,,,,,,,,1,05:20:00,,,,,
,,,,,,,,,,,,,,1,05:21:00,,,,,
,,,,,,,,,,,,,,1,05:22:00,,,,,
,,,,,,,,,,,,,,1,05:23:00,,,,,
,,,,,,,,,,,,,,1,05:24:00,,,,,
,,,,,,,,,,,,,,1,05:25:00,,,,,
,,,,,,,,,,,,,,1,05:26:00,,,,,
,,,,,,,,,,,,,,1,05:27:00,,,,,
,,,,,,,,,,,,,,1,05:28:00,,,,,
,,,,,,,,,,,,,,1,05:29:00,,,,,
,,,,,,,,,,,,,,1,05:30:00,,,,,
,,,,,,,,,,,,,,1,05:31:00,,,,,
,,,,,,,,,,,,,,1,05:32:00,,,,,
,,,,,,,,,,,,,,1,05:33:00,,,,,
,,,,,,,,,,,,,,1,05:34:00,,,,,
,,,,,,,,,,,,,,1,05:35:00,,,,,
,,,,,,,,,,,,,,1,05:36:00,,,,,
,,,,,,,,,,,,,,1,05:37:00,,,,,
,,,,,,,,,,,,,,1,05:38:00,,,,,
,,,,,,,,,,,,,,1,05:39:00,,,,,
,,,,,,,,,,,,,,1,05:40:00,,,,,
,,,,,,,,,,,,,,1,05:41:00,,,,,
,,,,,,,,,,,,,,1,05:42:00,,,,,
,,,,,,,,,,,,,,1,05:43:00,,,,,
,,,,,,,,,,,,,,1,05:44:00,,,,,
,,,,,,,,,,,,,,1,05:45:00,,,,,
,,,,,,,,,,,,,,1,05:46:00,,,,,
,,,,,,,,,,,,,,1,05:47:00,,,,,
,,,,,,,,,,,,,,1,05:48:00,,,,,
,,,,,,,,,,,,,,1,05:49:00,,,,,
,,,,,,,,,,,,,,1,05:50:00,,,,,
,,,,,,,,,,,,,,1,05:51:00,,,,,
,,,,,,,,,,,,,,1,05:52:00,,,,,
,,,,,,,,,,,,,,1,05:53:00,,,,,
,,,,,,,,,,,,,,1,05:54:00,,,,,
,,,,,,,,,,,,,,1,05:55:00,,,,,
,,,,,,,,,,,,,,1,05:56:00,,,,,
,,,,,,,,,,,,,,1,05:57:00,,,,,
,,,,,,,,,,,,,,1,05:58:00,,,,,
,,,,,,,,,,,,,,1,05:59:00,,,,,
,,,,,,,,,,,,,,1,06:00:00,,,,,
,,,,,,,,,,,,,,1,06:01:00,,,,,
,,,,,,,,,,,,,,1,06:02:00,,,,,
,,,,,,,,,,,,,,1,06:03:00,,,,,
,,,,,,,,,,,,,,1,06:04:00,,,,,
,,,,,,,,,,,,,,1,06:05:00,,,,,
,,,,,,,,,,,,,,1,06:06:00,,,,,
,,,,,,,,,,,,,,1,06:07:00,,,,,
,,,,,,,,,,,,,,1,06:08:00,,,,,
,,,,,,,,,,,,,,1,06:09:00,,,,,
,,,,,,,,,,,,,,1,06:10:00,,,,,
,,,,,,,,,,,,,,1,06:11:00,,,,,
,,,,,,,,,,,,,,1,06:12:00,,,,,
,,,,,,,,,,,,,,1,06:13:00,,,,,
,,,,,,,,,,,,,,1,06:14:00,,,,,
,,,,,,,,,,,,,,1,06:15:00,,,,,
,,,,,,,,,,,,,,2,06:16:00,,,,,
,,,,,,,,,,,,,,1,06:17:00,,,,,
,,,,,,,,,,,,,,1,06:18:00,,,,,
,,,,,,,,,,,,,,1,06:19:00,,,,,
,,,,,,,,,,,,,,2,06:20:00,,,,,
,,,,,,,,,,,,,,1,06:21:00,,,,,
,,,,,,,,,,,,,,1,06:22:00,,,,,
,,,,,,,,,,,,,,1,06:23:00,,,,,
,,,,,,,,,,,,,,1,06:24:00,,,,,
,,,,,,,,,,,,,,1,06:25:00,,,,,
,,,,,,,,,,,,,,1,06:26:00,,,,,
,,,,,,,,,,,,,,1,06:27:00,,,,,
,,,,,,,,,,,,,,1,06:28:00,,,,,
,,,,,,,,,,,,,,1,06:29:00,,,,,
,,,,,,,,,,,,,,1,06:30:00,,,,,
,,,,,,,,,,,,,,1,06:31:00,,,,,
,,,,,,,,,,,,,,1,06:32:00,,,,,
,,,,,,,,,,,,,,1,06:33:00,,,,,
,,,,,,,,,,,,,,1,06:34:00,,,,,
,,,,,,,,,,,,,,1,06:35:00,,,,,
,,,,,,,,,,,,,,1,06:36:00,,,,,
,,,,,,,,,,,,,,1,06:37:00,,,,,
,,,,,,,,,,,,,,1,06:38:00,,,,,
,,,,,,,,,,,,,,1,06:39:00,,,,,
,,,,,,,,,,,,,,1,06:40:00,,,,,
,,,,,,,,,,,,,,1,06:41:00,,,,,
,,,,,,,,,,,,,,1,06:42:00,,,,,
,,,,,,,,,,,,,,1,06:43:00,,,,,
,,,,,,,,,,,,,,1,06:44:00,,,,,
,,,,,,,,,,,,,,1,06:45:00,,,,,
,,,,,,,,,,,,,,1,06:46:00,,,,,
,,,,,,,,,,,,,,1,06:47:00,,,,,
,,,,,,,,,,,,,,1,06:48:00,,,,,
,,,,,,,,,,,,,,1,06:49:00,,,,,
,,,,,,,,,,,,,,1,06:50:00,,,,,
,,,,,,,,,,,,,,1,06:51:00,,,,,
,,,,,,,,,,,,,,1,06:52:00,,,,,
,,,,,,,,,,,,,,1,06:53:00,,,,,
,,,,,,,,,,,,,,1,06:54:00,,,,,
,,,,,,,,,,,,,,1,06:55:00,,,,,
,,,,,,,,,,,,,,1,06:56:00,,,,,
,,,,,,,,,,,,,,1,06:57:00,,,,,
,,,,,,,,,,,,,,1,06:58:00,,,,,
,,,,,,,,,,,,,,1,06:59:00,,,,,
,,,,,,,,,,,,,,1,07:00:00,,,,,
,,,,,,,,,,,,,,1,07:01:00,,,,,
,,,,,,,,,,,,,,1,07:02:00,,,,,
,,,,,,,,,,,,,,1,07:03:00,,,,,
,,,,,,,,,,,,,,1,07:04:00,,,,,
,,,,,,,,,,,,,,1,07:05:00,,,,,
,,,,,,,,,,,,,,1,07:06:00,,,,,
,,,,,,,,,,,,,,1,07:07:00,,,,,
,,,,,,,,,,,,,,1,07:08:00,,,,,
,,,,,,,,,,,,,,1,07:09:00,,,,,
,,,,,,,,,,,,,,1,07:10:00,,,,,
,,,,,,,,,,,,,,1,07:11:00,,,,,
,,,,,,,,,,,,,,1,07:12:00,,,,,
,,,,,,,,,,,,,,1,07:13:00,,,,,
,,,,,,,,,,,,,,1,07:14:00,,,,,
,,,,,,,,,,,,,,1,07:15:00,,,,,
,,,,,,,,,,,,,,1,07:16:00,,,,,
,,,,,,,,,,,,,,2,07:17:00,,,,,
,,,,,,,,,,,,,,1,07:18:00,,,,,
,,,,,,,,,,,,,,1,07:19:00,,,,,
,,,,,,,,,,,,,,1,07:20:00,,,,,
,,,,,,,,,,,,,,1,07:21:00,,,,,
,,,,,,,,,,,,,,1,07:22:00,,,,,
,,,,,,,,,,,,,,1,07:23:00,,,,,
,,,,,,,,,,,,,,1,07:24:00,,,,,
,,,,,,,,,,,,,,1,07:25:00,,,,,
,,,,,,,,,,,,,,1,07:26:00,,,,,
,,,,,,,,,,,,,,2,07:27:00,,,,,
,,,,,,,,,,,,,,1,07:28:00,,,,,
,,,,,,,,,,,,,,1,07:29:00,,,,,
,,,,,,,,,,,,,,1,07:30:00,,,,,
,,,,,,,,,,,,,,1,07:31:00,,,,,
,,,,,,,,,,,,,,2,07:32:00,,,,,
,,,,,,,,,,,,,,2,07:33:00,,,,,
,,,,,,,,,,,,,,2,07:34:00,,,,,
,,,,,,,,,,,,,,3,07:35:00,,,,,
,,,,,,,,,,,,,,3,07:36:00,,,,,
,,,,,,,,,,,,,,2,07:37:00,,,,,
,,,,,,,,,,,,,,2,07:38:00,,,,,
,,,,,,,,,,,,,,2,07:39:00,,,,,
,,,,,,,,,,,,,,2,07:40:00,,,,,
,,,,,,,,,,,,,,2,07:41:00,,,,,
,,,,,,,,,,,,,,2,07:42:00,,,,,
,,,,,,,,,,,,,,2,07:43:00,,,,,
,,,,,,,,,,,,,,2,07:44:00,,,,,
,,,,,,,,,,,,,,2,07:45:00,,,,,
,,,,,,,,,,,,,,2,07:46:00,,,,,
,,,,,,,,,,,,,,2,07:47:00,,,,,
,,,,,,,,,,,,,,1,07:48:00,,,,,
,,,,,,,,,,,,,,1,07:49:00,,,,,
,,,,,,,,,,,,,,1,07:50:00,,,,,
,,,,,,,,,,,,,,2,07:51:00,,,,,
,,,,,,,,,,,,,,1,07:52:00,,,,,
,,,,,,,,,,,,,,1,07:53:00,,,,,
,,,,,,,,,,,,,,1,07:54:00,,,,,
,,,,,,,,,,,,,,2,07:55:00,,,,,
,,,,,,,,,,,,,,1,07:56:00,,,,,
,,,,,,,,,,,,,,1,07:57:00,,,,,
,,,,,,,,,,,,,,1,07:58:00,,,,,
,,,,,,,,,,,,,,1,07:59:00,,,,,
,,,,,,,,,,,,,,1,08:00:00,,,,,
,,,,,,,,,,,,,,1,08:01:00,,,,,
,,,,,,,,,,,,,,1,08:02:00,,,,,
,,,,,,,,,,,,,,1,08:03:00,,,,,
,,,,,,,,,,,,,,1,08:04:00,,,,,
